"2025-10-23","91.196.152.219","France","TCP","\u0016\u0003\u0003\u0001\ufffd\u0001\u0000\u0001\ufffd\u0003\u0003P\u0005\u000bCР\ufffd/\u0017\u0006\ufffd\ufffd\ufffd\u000f\u001b\ufffd\ufffd\ufffd\ufffd\ufffd3\ufffd\ufffdM~ܾ\u0002\u003eM\ufffd\ufffd j\ufffd\ufffd\ufffd\ufffd1\ufffd\n\ufffd\ufffd\ufffd\u001e{\ufffd\ufffd\u0017\u0026\ufffd\ufffd\ufffdMj\ufffd-\ufffd\u000f\ufffd\n\ufffd\u0013\ufffd6\u0000\ufffd\u0000\u0016\u00003\u0000g\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u00009\u0000k\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u0000E\u0000\ufffd\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd\u0008\ufffd\t\ufffd#\ufffd\ufffd\ufffd\ufffd\ufffd+\ufffd\n\ufffd$\ufffd\ufffd\ufffd\ufffd\ufffd
"2025-10-23","192.241.129.152","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003\ufffd\ufffd[\u0007\ufffd\ufffd~\ufffd\ufffd\ufffd\ufffdF\u001bT\ufffd\ufffdxw\ufffd\ufffd\ufffd\ufffd\ufffdf\ufffd\u0006^̌\u0006R\ufffd ;\ufffd\u0002\ufffd\u000420S\ufffd+cWN|}s\ufffdJj\ufffd\u0013d\u001fv\ufffdC\ufffd\ufffd=/\ufffd\u0000\u003e\u0013\u0002\u0013\u0003\u0013\u0001\ufffd
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003޹\ufffdZ+\ufffd\ufffdB\ufffd\ufffds\ufffdKzOڷ\ufffd\ufffd:\ufffd\u0019(/U\ufffd\ufffd\ufffd\ufffd M\u000e)\ufffd\u003e\ufffd\u001d\ufffd(_\ufffd@\ufffd\ufffd:_\ufffd\ufffdn7{\ufffd\ufffd\u0008\ufffd\r2q\ufffdA\ufffdz\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-10-23","157.230.58.67","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.191.159","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\ufffd\ufffd\u000eοP\ufffd!\ufffd\ufffdy\ufffd\u0016\ufffd/\ufffd\u001a2q\ufffd\ufffd\ufffd\u0010\ufffdd\ufffd\u0012\ufffdi*\u0000\u0000P\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\ufffd$\ufffd#\ufffd\u0008\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd(\ufffd'̨̩̪\u0000k\u0000g\u00009\u00003\u0000\u0016\u0000=\u0000\u003c\u0000\u0004\u0000\u0014\u0000\ufffd\u0000\u0015\ufffd
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","178.128.241.142","The Netherlands","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"139\"
"2025-10-23","178.128.241.142","The Netherlands","TCP","GET /favicon.ico HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"139\"
"2025-10-23","35.203.210.51","United Kingdom","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-10-23","35.203.210.51","United Kingdom","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-10-23","20.163.74.182","United States","TCP","\r\n"
"2025-10-23","194.165.16.161","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","194.165.16.161","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","45.227.254.156","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","45.227.254.156","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","162.216.149.63","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-10-23","162.216.149.63","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-10-23","3.131.215.38","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-10-23","3.131.215.38","United States","TCP","\n"
"2025-10-23","3.131.215.38","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-10-23","3.131.215.38","United States","TCP","\u0016\u0003\u0001\u0000{\u0001\u0000\u0000w\u0003\u0003\u0015l
"2025-10-23","3.131.215.38","United States","TCP","SSH-2.0-Go\r\n"
"2025-10-23","3.131.215.38","United States","TCP","\u0016\u0003\u0001\u0000{\u0001\u0000\u0000w\u0003\u0003\ufffdF(\ufffd@\u0026]g\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd=\ufffd\ufffdo8\ufffddS[x\ufffd\ufffd\ufffd\ufffd\r\u0000\u0000\u001a\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\u0001\u0000\u00004\u0000\u0005\u0000\u0005\u0001\u0000\u0000\u0000\u0000\u0000\n\u0000\u0008\u0000\u0006\u0000\u0017\u0000\u0018\u0000\u0019\u0000\u000b\u0000\u0002\u0001\u0000\u0000\r\u0000\u0010\u0000\u000e\u0004\u0001\u0004\u0003\u0002\u0001\u0002\u0003\u0004\u0001\u0005\u0001\u0006\u0001\ufffd\u0001\u0000\u0001\u0000"
"2025-10-23","85.208.84.222","Russia","TCP","\u0003\u0000\u0000/*\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Administr\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","194.165.16.164","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","194.165.16.164","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-10-23","64.227.4.196","United States","TCP","\r\n\r\n"
"2025-10-23","64.227.4.196","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-10-23","64.227.4.196","United States","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-10-23","64.227.4.196","United States","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-10-23","64.227.4.196","United States","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-10-23","64.227.4.196","United States","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-10-23","64.227.4.196","United States","TCP","HELP\r\n"
"2025-10-23","64.227.4.196","United States","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-10-23","64.227.4.196","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-10-23","64.227.4.196","United States","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2025-10-23","64.227.4.196","United States","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2025-10-23","64.227.4.196","United States","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-10-23","64.227.4.196","United States","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-10-23","134.209.218.145","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","178.128.159.101","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003N \u0001k\ufffdVg:N\ufffd
"2025-10-23","157.230.55.163","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","134.209.218.145","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","178.128.159.101","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-10-23","178.128.159.101","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003\ufffd}z\ufffdj\ufffd\ufffd$ɂA\ufffd\ufffd=\ufffd'\ufffd;\ufffd\ufffd\u0019U\ufffd
"2025-10-23","134.209.218.145","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","178.128.159.101","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\u0008\ufffdp\ufffdEJ\u001d2\u001f\ufffd\u0008|A\u0019`\ufffd\ufffdF\ufffd#\ufffd\ufffdЅ\ufffd\ufffdO\ufffdM'e |\ufffd\ufffd\ufffd_v\ufffd2\ufffd\ufffd\ufffdX\ufffd\ufffd\ufffd\u0010@7\ufffdz\u0018߅\u0013\u0001\ufffdZ\u001b\ufffd7*\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","178.128.159.101","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffdB\ufffd K\ufffd\ufffd\ufffdj\ufffd\ufffd\ufffd\ufffdˮB\ufffd\ufffd߷\u000c\u0018\ufffd\ufffd\ufffd-\ufffd\u000b\ufffdn:\ufffd\u0000\u0000P\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\ufffd$\ufffd#\ufffd\u0008\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd(\ufffd'̨̩̪\u0000k\u0000g\u00009\u00003\u0000\u0016\u0000=\u0000\u003c\u0000\u0004\u0000\u0014\u0000\ufffd\u0000\u0015\ufffd
"2025-10-23","134.209.218.145","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","134.209.218.145","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","134.209.218.145","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.55.163","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","195.184.76.167","United States","TCP","\u0016\u0003\u0003\u0001\ufffd\u0001\u0000\u0001\ufffd\u0003\u0003-/\ufffd\ufffd!\u00261\u0003O\ufffd\u0010'\ufffd\u001aj*\u00138䳨\u003cf\ufffd\ufffd\ufffd]#7\u001166 \ufffdr\ufffd\ufffd\u001f\u000bx\ufffd\ufffd\u0002\ufffd\ufffd9\ufffd\ufffd\ufffd\u0004\u0004\ufffd\ufffd\ufffd_\ufffd1\ufffd\ufffd\ufffdؽ\ufffd\ufffd
